185.18.254.129,340,340,340
2.78.57.9,257,261,268
94.141.68.249,,,
185.211.130.193,355,356,356
212.72.141.89,295,295,295
92.241.86.93,301,305,312
31.146.183.221,300,300,300
212.72.141.113,279,282,287
94.20.54.53,306,306,306
185.40.34.177,309,309,310
89.147.204.169,306,307,309
80.76.167.145,169,169,170
109.224.4.113,322,325,331
109.224.5.249,328,332,338
213.175.175.81,,,
185.100.171.137,285,286,286
31.25.137.121,292,308,329
213.178.231.193,252,252,252
95.140.200.137,307,312,315
203.170.77.69,168,168,169
110.93.195.45,157,157,157
62.231.30.105,290,291,291
83.220.51.89,224,225,225
194.186.187.205,290,290,290
178.124.157.161,263,263,263
195.22.229.201,258,258,258
46.61.162.1,212,212,213
87.229.232.161,285,286,287
195.239.222.233,296,301,312
81.23.2.161,225,226,228
194.186.199.117,422,423,424
82.162.138.81,73,112,185
136.144.44.237,256,256,256
136.144.46.5,183,183,183
172.27.128.125,,,
51.211.165.252,323,324,325
194.183.179.125,265,265,265
193.111.50.118,272,272,273
81.218.24.17,295,303,319
192.117.13.17,290,290,290
213.135.93.73,285,285,285
212.113.97.89,218,218,218
195.239.117.177,289,289,290
