185.18.254.129,209,209,209
2.78.57.9,226,231,241
94.141.68.249,,,
185.211.130.193,210,210,210
212.72.141.89,166,166,166
92.241.86.93,173,174,176
31.146.183.221,171,172,172
212.72.141.113,169,169,169
94.20.54.53,178,179,179
185.40.34.177,177,178,179
89.147.204.169,180,182,184
80.76.167.145,40,40,40
109.224.4.113,235,236,236
109.224.5.249,232,232,232
213.175.175.81,,,
185.100.171.137,183,183,183
31.25.137.121,235,239,242
213.178.231.193,202,202,203
95.140.200.137,177,179,182
203.170.77.69,175,176,176
110.93.195.45,163,163,163
62.231.30.105,165,165,166
83.220.51.89,191,191,191
194.186.187.205,148,149,149
178.124.157.161,136,136,136
195.22.229.201,146,146,146
46.61.162.1,191,191,192
87.229.232.161,156,157,157
195.239.222.233,152,153,154
81.23.2.161,192,192,192
194.186.199.117,308,309,310
82.162.138.81,193,205,213
136.144.44.237,71,71,72
136.144.46.5,71,71,72
172.27.128.125,,,
51.211.165.252,188,190,194
194.183.179.125,137,137,137
193.111.50.118,151,151,152
81.218.24.17,169,169,170
192.117.13.17,176,176,176
213.135.93.73,151,151,151
212.113.97.89,185,185,185
195.239.117.177,156,157,157
